Date,BMO,BNS,CIBC,RBC,TD
2015-12-21,78.709999,56.290001,19.33,74.550003,54.799999
2015-12-22,77.889999,56.389999,19.6,74.389999,54.599998
2015-12-23,78.269997,57.48,19.84,75.0,54.869999
2015-12-24,78.709999,57.950001,20.0,75.639999,55.029999
2015-12-29,79.510002,58.169998,20.5,75.870003,55.330002
2015-12-30,78.940002,57.700001,20.84,75.589996,55.009998
2015-12-31,78.080002,55.970001,20.75,74.150002,54.240002
2016-01-04,76.660004,55.540001,20.200001,73.040001,53.720001
2016-01-05,76.620003,56.130001,19.9,72.82,53.509998
2016-01-06,74.919998,55.16,19.85,71.57,52.18
2016-01-07,73.519997,54.310001,19.52,70.25,51.029999
2016-01-08,73.519997,54.560001,19.33,70.07,51.049999
2016-01-11,73.610001,54.189999,19.0,70.410004,51.389999
2016-01-12,74.18,54.049999,18.65,70.919998,52.400002
2016-01-13,72.0,53.0,18.25,69.150002,51.5
2016-01-14,73.050003,53.630001,17.860001,69.57,51.290001
2016-01-15,70.849998,52.27,17.469999,67.050003,49.450001
2016-01-18,70.82,52.380001,17.41,66.870003,49.380001
2016-01-19,71.300003,53.27,17.74,67.43,50.290001
2016-01-20,70.169998,51.869999,17.620001,65.620003,49.41
2016-01-21,70.970001,52.740002,17.780001,66.830002,50.18
2016-01-22,73.75,54.470001,18.77,69.339996,51.68
2016-01-25,71.690002,52.919998,19.1,67.029999,50.18
2016-01-26,72.779999,53.259998,19.290001,67.620003,50.869999
2016-01-27,74.089996,54.299999,19.110001,68.629997,51.720001
2016-01-28,74.57,56.400002,19.190001,71.050003,52.75
2016-01-29,75.220001,57.389999,19.1,72.550003,53.150002
2016-02-01,74.300003,56.34,19.02,71.269997,52.27
2016-02-02,73.580002,55.57,18.700001,70.080002,51.849998
2016-02-03,73.970001,55.779999,19.1,70.139999,51.91
2016-02-04,74.510002,56.860001,19.4,70.989998,52.630001
2016-02-05,74.330002,56.799999,19.290001,71.139999,52.400002
2016-02-08,73.529999,55.68,19.120001,69.290001,51.509998
2016-02-09,71.529999,54.169998,19.02,67.639999,50.279999
2016-02-10,70.290001,52.66,18.65,66.190002,49.700001
2016-02-11,69.559998,52.060001,18.200001,65.0,49.02
2016-02-12,71.900002,54.02,17.629999,67.980003,50.810001
2016-02-16,73.18,55.07,17.700001,69.410004,51.880001
2016-02-17,74.639999,56.23,18.049999,70.949997,52.599998
2016-02-18,74.690002,56.330002,18.450001,71.0,52.599998
2016-02-19,74.389999,56.009998,18.549999,71.279999,52.419998
2016-02-22,73.870003,55.48,18.200001,70.489998,52.23
2016-02-23,73.68,54.790001,17.75,69.629997,52.18
2016-02-24,73.190002,53.57,17.85,67.809998,51.23
